Kennziffer;Raumeinheit;Aggregat;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung;Wahlbeteiligung
;;;1994;1998;2002;2005;2009;2013;2017
"01001";"Flensburg, Stadt";"krsfr. Stadt";"75,1";"75,8";"73,9";"72,0";"65,8";"65,8";"70,3"
"01002";"Kiel, Stadt";"krsfr. Stadt";"77,9";"78,7";"77,2";"75,9";"70,6";"69,7";"73,5"
"01003";"Lübeck, Stadt";"krsfr. Stadt";"76,5";"77,1";"75,4";"71,7";"66,5";"67,0";"70,7"
"01004";"Neumünster, Stadt";"krsfr. Stadt";"74,5";"75,9";"73,8";"71,4";"63,8";"64,5";"66,0"
"01051";"Dithmarschen";"Landkreis";"78,6";"79,5";"76,8";"76,0";"69,2";"68,5";"72,2"
"01053";"Herzogtum Lauenburg";"Landkreis";"81,9";"83,2";"80,9";"79,4";"74,1";"73,9";"76,8"
"01054";"Nordfriesland";"Landkreis";"78,0";"79,8";"79,5";"77,2";"70,6";"70,4";"74,7"
"01055";"Ostholstein";"Landkreis";"79,9";"81,4";"79,7";"78,0";"71,3";"72,2";"75,3"
"01056";"Pinneberg";"Landkreis";"83,0";"83,8";"82,9";"80,7";"74,3";"75,3";"78,1"
"01057";"Plön";"Landkreis";"83,3";"84,8";"83,3";"81,3";"75,9";"76,2";"79,6"
"01058";"Rendsburg-Eckernförde";"Landkreis";"81,6";"82,6";"81,2";"79,8";"74,5";"74,9";"78,2"
"01059";"Schleswig-Flensburg";"Landkreis";"80,6";"81,8";"80,1";"78,6";"72,8";"73,0";"76,5"
"01060";"Segeberg";"Landkreis";"80,5";"82,1";"80,6";"79,2";"72,9";"73,4";"76,5"
"01061";"Steinburg";"Landkreis";"80,0";"81,5";"79,9";"77,8";"71,1";"71,5";"74,8"
"01062";"Stormarn";"Landkreis";"83,9";"84,8";"83,9";"81,9";"76,2";"76,8";"80,4"
