Kennziffer,Raumeinheit,Aggregat,Jahr,Arbeitslosenquote,Wahlbeteiligung,Durchschnittsalter,BIP,Stadt_Land
01001,"Flensburg, Stadt",krsfr. Stadt,1998,14.6,75.8,40.8,NA,NA
01001,"Flensburg, Stadt",krsfr. Stadt,1999,13,NA,40.9,NA,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2000,11.8,NA,41,31.1,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2001,12.1,NA,41,31.3,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2002,12.1,73.9,41.1,32,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2003,13.7,NA,41.2,32.1,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2004,14,NA,41.2,34.1,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2005,18.3,72,41.2,35,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2006,15.4,NA,41.4,36.2,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2007,12.5,NA,41.3,36.2,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2008,11.5,NA,41.3,36.6,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2009,12.9,65.8,41.5,35.3,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2010,12.7,NA,41.6,35.3,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2011,11.9,NA,42.6,38.4,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2012,11.3,NA,42.5,39,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2013,11.1,65.8,42.6,39.2,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2014,10.5,NA,42.6,39.3,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2015,10,NA,42.5,41.2,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2016,9,NA,42.3,41.2,NA
01001,"Flensburg, Stadt",krsfr. Stadt,2017,8.9,70.3,42.2,42.5,1
01002,"Kiel, Stadt",krsfr. Stadt,1998,13.9,78.7,40.6,NA,NA
01002,"Kiel, Stadt",krsfr. Stadt,1999,12.9,NA,40.9,NA,NA
01002,"Kiel, Stadt",krsfr. Stadt,2000,11.3,NA,41,33.7,NA
01002,"Kiel, Stadt",krsfr. Stadt,2001,11.1,NA,41.1,34.4,NA
01002,"Kiel, Stadt",krsfr. Stadt,2002,11.7,77.2,41,32.8,NA
01002,"Kiel, Stadt",krsfr. Stadt,2003,13.4,NA,41.2,34.6,NA
01002,"Kiel, Stadt",krsfr. Stadt,2004,13.6,NA,41.2,34.4,NA
01002,"Kiel, Stadt",krsfr. Stadt,2005,16.9,75.9,41.3,34.8,NA
01002,"Kiel, Stadt",krsfr. Stadt,2006,14.7,NA,41.3,36.3,NA
01002,"Kiel, Stadt",krsfr. Stadt,2007,12.6,NA,41.3,36.2,NA
01002,"Kiel, Stadt",krsfr. Stadt,2008,11.4,NA,41.4,38.1,NA
01002,"Kiel, Stadt",krsfr. Stadt,2009,10.9,70.6,41.5,38.1,NA
01002,"Kiel, Stadt",krsfr. Stadt,2010,10.8,NA,41.6,38,NA
01002,"Kiel, Stadt",krsfr. Stadt,2011,11.1,NA,41.3,39.6,NA
01002,"Kiel, Stadt",krsfr. Stadt,2012,10.1,NA,41.4,39.9,NA
01002,"Kiel, Stadt",krsfr. Stadt,2013,10.2,69.7,41.4,41.8,NA
01002,"Kiel, Stadt",krsfr. Stadt,2014,10.1,NA,41.5,43.5,NA
01002,"Kiel, Stadt",krsfr. Stadt,2015,9.9,NA,41.4,43.6,NA
01002,"Kiel, Stadt",krsfr. Stadt,2016,9.7,NA,41.4,45,NA
01002,"Kiel, Stadt",krsfr. Stadt,2017,9.1,73.5,41.5,47,0
01003,"Lübeck, Stadt",krsfr. Stadt,1998,13.4,77.1,42.2,NA,NA
01003,"Lübeck, Stadt",krsfr. Stadt,1999,13.4,NA,42.4,NA,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2000,12.6,NA,42.6,26.5,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2001,12.3,NA,42.7,27,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2002,12.6,75.4,42.8,27.7,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2003,13.7,NA,42.9,28.4,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2004,14,NA,43.1,27.6,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2005,18.3,71.7,43.3,27.6,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2006,15.2,NA,43.4,29.1,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2007,13.1,NA,43.5,30,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2008,12.2,NA,43.7,30.2,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2009,12.3,66.5,43.8,29.5,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2010,11.2,NA,43.9,30.6,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2011,11,NA,44.3,32.1,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2012,10.4,NA,44.4,34.1,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2013,10.4,67,44.5,34.7,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2014,10.1,NA,44.5,37.1,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2015,9.9,NA,44.5,37.6,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2016,9.1,NA,44.6,38.3,NA
01003,"Lübeck, Stadt",krsfr. Stadt,2017,8.6,70.7,44.7,40.6,0
01004,"Neumünster, Stadt",krsfr. Stadt,1998,13.4,75.9,40.7,NA,NA
01004,"Neumünster, Stadt",krsfr. Stadt,1999,13.4,NA,40.9,NA,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2000,12.2,NA,41.1,27.5,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2001,11.8,NA,41.3,27.3,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2002,12.1,73.8,41.4,27.6,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2003,13.4,NA,41.7,29.3,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2004,13.5,NA,41.9,28.1,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2005,15.7,71.4,42.2,28.7,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2006,14.4,NA,42.3,30,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2007,11.6,NA,42.5,31.4,NA
01004,"Neumünster, Stadt",krsfr. Stadt,2008,11,NA,42.7,31.8,NA
